question,answer,qA
"#Q Why is July 4th, 1776 considered the birthday of the United States?
",because the signing of the Declaration of Independence began on that day,"['#Q Why is July 4th, 1776 considered the birthday of the United States?\n'
 '^ because the signing of the Declaration of Independence began on that day\n'
 'A because the signing of the Declaration of Independence began on that day\n'
 'B because on that day the British recognized US independence\n'
 'C because on that day all thirteen former colonies finally agreed to a constitution for their new government\n'
 'D because on that day the Americans had their first victory over the British at Boston\n']"
"#Q Which of the following is NOT true about the Battle of Saratoga in 1777?
",General George Washington was wounded while directing the American troops.,"['#Q Which of the following is NOT true about the Battle of Saratoga in 1777?\n'
 '^ General George Washington was wounded while directing the American troops.\n'
 'A It was the first major victory for the Americans.\n'
 'B The American victory convinced the French to give the Americans substantial aid.\n'
 'C British General Burgoyne invading from Canada lost his entire army.\n'
 'D General George Washington was wounded while directing the American troops.\n']"
"#Q The American victory in this battle is often called the turning point of the Revolutionary War in the South.
",Battle of Kings Mountain,"['#Q The American victory in this battle is often called the turning point of the Revolutionary War in the South.\n'
 '^ Battle of Kings Mountain\n' 'A Battle of Kings Mountain\n'
 'B Battle of Charleston\n' 'C Battle of Princeton\n'
 'D Battle of Camden\n']"
"#Q How did the French aid the American patriots during the Revolutionary War?
",all of these,"['#Q How did the French aid the American patriots during the Revolutionary War?\n'
 '^ all of these\n'
 'A by allowing the French fleet to aid the Americans at a critical point of the war\n'
 'B by providing substantial amounts of military supplies\n'
 'C by sending part of the French Army to America\n' 'D all of these\n']"
"#Q What statement is true about John Paul Jones who fought in the American Revolutionary War?
",He was successful in naval warfare against the British.,"['#Q What statement is true about John Paul Jones who fought in the American Revolutionary War?\n'
 '^ He was successful in naval warfare against the British.\n'
 'A He used guerrilla warfare against the British.\n'
 'B He was able to get several Indian tribes to fight against the British.\n'
 'C He was successful in naval warfare against the British.\n'
 'D He captured several British forts in Canada.\n']"
"#Q What statement is true about the Treaty of Paris of 1783?
",It recognized US independence.,"['#Q What statement is true about the Treaty of Paris of 1783?\n'
 '^ It recognized US independence.\n' 'A It recognized US independence.\n'
 'B It granted territory to the US from the Atlantic Ocean to the Pacific Ocean.\n'
 'C All of these\n'
 'D It formed a permanent alliance between France and the US.\n']"
"#Q Stormd at with shot and shell,
","Boldly they rode and well,","['#Q Stormd at with shot and shell,\n' 'Boldly they rode and well, \n'
 'Into the jaws of Death,\n' 'Into the mouth of Hell\n'
 'Rode the six hundred.\n'
 'The verse is taken from Alfred, Lord Tennysons The Charge of the Light Brigade. The poem\n']"
"#Q We may have not known the meaning of 
","Voulez vous coucher avec moi ce joir,","['#Q We may have not known the meaning of \n'
 'Voulez vous coucher avec moi ce joir,\n'
 'But we could figure out the meaning of \n'
 'Gitchi gitchi. Ya, ya.  Da. Da.\n'
 'Who was struttin her stuff in New Orleans asking Hey Joe, want to give it a go?\n'
 '^ Lady Marmalade\n']"
"#Q The pros:  this pet needed no watering, feeding, worming or grooming.  You could go on a six month vacation and never have to ask your neighbor to take care of this pet.  The cons:  this pet could only learn how to stay and  was very, very boring.  Thanks to Gary Dahl, what pet sold over 1,000,000 in 1975?
",Pet Rock,"['#Q The pros:  this pet needed no watering, feeding, worming or grooming.  You could go on a six month vacation and never have to ask your neighbor to take care of this pet.  The cons:  this pet could only learn how to stay and  was very, very boring.  Thanks to Gary Dahl, what pet sold over 1,000,000 in 1975?\n'
 '^ Pet Rock\n' 'A Chia Pet\n' 'B Elmo\n' 'C Pet Rock\n'
 'D Invisible Dog\n']"
"#Q Where would you be if you heard Tattoo yell out,  Ze plane!  Ze plane!
",Fantasy Island,"['#Q Where would you be if you heard Tattoo yell out,  Ze plane!  Ze plane!\n'
 '^ Fantasy Island\n' 'A Hawaii Five O\n' 'B Gilligans Island\n'
 'C Fantasy Island\n' 'D Love Boat\n']"
"#Q Which of the following is NOT a quote from Saturday Night Live?
",Nanoo nanoo!,"['#Q Which of the following is NOT a quote from Saturday Night Live?\n'
 '^ Nanoo nanoo!\n' 'A Nanoo nanoo!\n'
 'B We are two wild and crazy guys!\n' 'C Im Chevy Chase and youre not.\n'
 'D Jane, you ignorant slut!\n']"
"#Q Ever since the Napoleonic wars, conscript troops were blamed for a lack of professionalism and could not be trusted. However, this changed at the 1866 battle at...?
",Koniggratz,"['#Q Ever since the Napoleonic wars, conscript troops were blamed for a lack of professionalism and could not be trusted. However, this changed at the 1866 battle at...?\n'
 '^ Koniggratz\n' 'A Schleswig Holstein\n' 'B Koniggratz\n' 'C Palermo\n'
 'D Paris\n']"
"#Q This 1899 -1902 war marked the beginning of the decline of the British Empire
",The Boer War - South Africa,"['#Q This 1899 -1902 war marked the beginning of the decline of the British Empire\n'
 '^ The Boer War - South Africa\n' 'A Rebellion in India\n'
 'B The War of independence - Ireland\n' 'C The Boer War - South Africa\n'
 'D The Boxer uprising - China\n']"
"#Q In 1905 the Russian fleet engaged the Japanese fleet in front of the Korean coast. In order to reach Korea, the Russian fleet had to cross half of the world from their western ports. Believing they were battling Japanese torpedo boats in the North Sea, the Russian fleet mistakenly attacked British fishing ships.
",True,"['#Q In 1905 the Russian fleet engaged the Japanese fleet in front of the Korean coast. In order to reach Korea, the Russian fleet had to cross half of the world from their western ports. Believing they were battling Japanese torpedo boats in the North Sea, the Russian fleet mistakenly attacked British fishing ships.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q In 1853 the Crimean War began.  Which country was not part of the coalition against Russia?\n']"
"#Q In 1853 the Crimean War began.  Which country was not part of the coalition against Russia?
",Austria,"['#Q In 1853 the Crimean War began.  Which country was not part of the coalition against Russia?\n'
 '^ Austria\n' 'A France\n' 'B United Kingdom\n' 'C Austria\n'
 'D Kingdom of Piedmont\n']"
"#Q This conflict ended in a humiliating defeat for China and forced the opening of 5 ports to international trade; Canton, Shanghai, Foochow, Ningpo, and Amoy. Which conflict was it?
",The first Opium War 1839 - 1842,"['#Q This conflict ended in a humiliating defeat for China and forced the opening of 5 ports to international trade; Canton, Shanghai, Foochow, Ningpo, and Amoy. Which conflict was it?\n'
 '^ The first Opium War 1839 - 1842\n'
 'A The 2nd Sin--Japanese War 1937 - 1945\n'
 'B The Korean War 1950 - 1953\n' 'C The Vietnam invasion - 1979\n'
 'D The first Opium War 1839 - 1842\n']"
"#Q This Civil War raged between 1967 - 1970, costing an estimated 1 million people their lives. In the aftermath the Non-Governmental Organization Medicins sans Frontiere was created in 1971. In which country did this civil war take place?
",Nigeria,"['#Q This Civil War raged between 1967 - 1970, costing an estimated 1 million people their lives. In the aftermath the Non-Governmental Organization Medicins sans Frontiere was created in 1971. In which country did this civil war take place?\n'
 '^ Nigeria\n' 'A Cambodia\n' 'B Congo\n' 'C Algeria\n' 'D Nigeria\n']"
"#Q This conflict lead to the start of a period which is referred to as The Catastrophe by the defeated. Which conflict is this?
",The Arab-Israel War - 1948,"['#Q This conflict lead to the start of a period which is referred to as The Catastrophe by the defeated. Which conflict is this?\n'
 '^ The Arab-Israel War - 1948\n'
 'A The Soviet Annexation of the Baltic States; Estonia, Lithuania  Latvia - 1940\n'
 'B The Kashmir Conflict - 1947\n' 'C The Arab-Israel War - 1948\n'
 'D The Armenian uprisal - 1915\n']"
"#Q On April 24th 1916 an uprising took place in this country in an attempt to gain independence from the UK.  Where did this uprising take place?
",Ireland; The Easter Uprising,"['#Q On April 24th 1916 an uprising took place in this country in an attempt to gain independence from the UK.  Where did this uprising take place?\n'
 '^ Ireland; The Easter Uprising\n' 'A India; The Sepoy Mutiny\n'
 'B Ireland; The Easter Uprising\n'
 'C The Palestine Mandate ; Zionist Uprising\n'
 'D Egypt; The Urabi revolt\n']"
"#Q When and where did the Velvet Revolution take place?
",1989 ; Prague ; Czechoslovakia,"['#Q When and where did the Velvet Revolution take place?\n'
 '^ 1989 ; Prague ; Czechoslovakia\n' 'A 2000 ; Belgrade ; Yugoslavia\n'
 'B 2003 ; Tbilisi ; Georgia\n'
 'C 1989 ; Tiananmen Square, Beijing; China\n'
 'D 1989 ; Prague ; Czechoslovakia\n']"
"#Q The United Islamic Front for the Salvation of Afghanistan is also known as?
",Northern Alliance,"['#Q The United Islamic Front for the Salvation of Afghanistan is also known as?\n'
 '^ Northern Alliance\n' 'A Northern Alliance\n' 'B Al-Qaeda\n'
 'C Taliban\n' 'D Amir al-MuMinin\n']"
"#Q During his lifetime Montesquieu (1689 -1755) was an outright critic of the French Absolutism. He put this forward in books like Lettres Persanes (Persian Letters - 1721). He also developed his own view on an ideal political system which he described in his Lesprit des Lois (on the Spirit of Laws -1748). What political system was he envisioning?
",Constitutional Monarchy,"['#Q During his lifetime Montesquieu (1689 -1755) was an outright critic of the French Absolutism. He put this forward in books like Lettres Persanes (Persian Letters - 1721). He also developed his own view on an ideal political system which he described in his Lesprit des Lois (on the Spirit of Laws -1748). What political system was he envisioning?\n'
 '^ Constitutional Monarchy\n' 'A Autocracy\n'
 'B Constitutional Monarchy\n' 'C Liberalism\n' 'D Democracy\n']"
"#Q In June 1812, Napoleon Bonaparte and his Grand Armee suddenly invaded Russia at Nemel. After victories at Smolensk and Borodino, Napoleon managed to conquer Moscow without a fight. It was the start of the end of his army. After Russian refusals to come to terms and a big fire in Moscow, Napoleon was forced to retreat. The retreat turned into a complete disaster when crossing the Berezina river in November 1812. At what place did this crossing take place?
",Studjanka,"['#Q In June 1812, Napoleon Bonaparte and his Grand Armee suddenly invaded Russia at Nemel. After victories at Smolensk and Borodino, Napoleon managed to conquer Moscow without a fight. It was the start of the end of his army. After Russian refusals to come to terms and a big fire in Moscow, Napoleon was forced to retreat. The retreat turned into a complete disaster when crossing the Berezina river in November 1812. At what place did this crossing take place?\n'
 '^ Studjanka\n' 'A Borodino\n' 'B Studjanka\n' 'C Moscow\n'
 'D Smolensk\n']"
"#Q On September 27th, 1779 this politician was appointed by American Congress to start negotiating peace with the British.
",John Adams,"['#Q On September 27th, 1779 this politician was appointed by American Congress to start negotiating peace with the British.\n'
 '^ John Adams\n' 'A Ben Franklin\n' 'B Thomas Jefferson\n' 'C John Jay\n'
 'D John Adams\n']"
"#Q Between 1639 and 1858 Japan was largely isolated from the outside world. The port of Nagasaki was only open to Dutch and Chinese ships. In 1858 Commander Perry forced the Japanese Shogun to stop preventing trade. What was one of the results of this event?
",The Meiji Restoration,"['#Q Between 1639 and 1858 Japan was largely isolated from the outside world. The port of Nagasaki was only open to Dutch and Chinese ships. In 1858 Commander Perry forced the Japanese Shogun to stop preventing trade. What was one of the results of this event?\n'
 '^ The Meiji Restoration\n' 'A A rise to power of the Shogunate\n'
 'B The assassination of  Tokugawa Yoshinobu\n'
 'C The loss of Nagasaki to a foreign power\n' 'D The Meiji Restoration\n']"
