question,answer,qA
"#Q In the 1958 NFL Championship Game, the Colts played against the Giants. Which statement is untrue about the game?
","The Giants quarterback, Y.A.Tittle, threw a TD pass to Frank Gifford for the Giants first score.","['#Q In the 1958 NFL Championship Game, the Colts played against the Giants. Which statement is untrue about the game?\n'
 '^ The Giants quarterback, Y.A.Tittle, threw a TD pass to Frank Gifford for the Giants first score.\n'
 'A The game was the first NFL Championship to go into sudden-death overtime.\n'
 'B Mel Triplett scored a 1 yard TD run.\n'
 'C The Giants quarterback, Y.A.Tittle, threw a TD pass to Frank Gifford for the Giants first score.\n'
 'D The game was won by the Baltimore Colts on a 2 yard run by Alan Ameche.\n']"
"#Q The Boston Celtics were the dominant professional basketball team in the 1950s. Which one of these  never played for the Celtics in the 1950s?
",Walter Dukes,"['#Q The Boston Celtics were the dominant professional basketball team in the 1950s. Which one of these  never played for the Celtics in the 1950s?\n'
 '^ Walter Dukes\n' 'A Jack Nichols\n' 'B K.C. Jones\n' 'C Frank Ramsey\n'
 'D Walter Dukes\n']"
"#Q On which show did Elvis Presley make his first TV appearance?
",The Dorsey Brothers Stage Show,"['#Q On which show did Elvis Presley make his first TV appearance?\n'
 '^ The Dorsey Brothers Stage Show\n' 'A The Dorsey Brothers Stage Show\n'
 'B Milton Berles Texaco Star Theater\n' 'C The Ed Sullivan Show\n'
 'D The Steve Allen Tonight Show\n']"
"#Q Which one of these was not part of the Million Dollar Quartet, formed in 1956 by Sun Records?
",Willie Nelson,"['#Q Which one of these was not part of the Million Dollar Quartet, formed in 1956 by Sun Records?\n'
 '^ Willie Nelson\n' 'A Carl Perkins\n' 'B Jerry Lee Lewis\n'
 'C Johnny Cash\n' 'D Willie Nelson\n']"
"#Q What society, that inhabited southern Mesopotamia, is widely regarded as the earliest civilization on Earth?
",Sumer,"['#Q What society, that inhabited southern Mesopotamia, is widely regarded as the earliest civilization on Earth?\n'
 '^ Sumer\n' 'A Minoan\n' 'B Zapotec\n' 'C Phoenicia\n' 'D Sumer\n']"
"#Q The Rosetta stone helped scientists to decipher the alphabet of this ancient civilization.
",Ancient Egypt,"['#Q The Rosetta stone helped scientists to decipher the alphabet of this ancient civilization.\n'
 '^ Ancient Egypt\n' 'A Ancient China\n' 'B Ancient Rome\n'
 'C Ancient Greece\n' 'D Ancient Egypt\n']"
"#Q On what Mediterranean island did the Minoan civilization arise?
",Crete,"['#Q On what Mediterranean island did the Minoan civilization arise?\n'
 '^ Crete\n' 'A Cyprus\n' 'B Corsica\n' 'C Crete\n' 'D Corfu\n']"
"#Q What was the predominating religion in the Achaemenid Empire, one of the first Persian empires?
",Zoroastrianism,"['#Q What was the predominating religion in the Achaemenid Empire, one of the first Persian empires?\n'
 '^ Zoroastrianism\n' 'A Rastafarianism\n' 'B Zoroastrianism\n'
 'C Hinduism\n' 'D Shamanism\n']"
"#Q Which was the largest empire in pre-Columbian America?
",Inca,"['#Q Which was the largest empire in pre-Columbian America?\n' '^ Inca\n'
 'A Maya\n' 'B Toltec\n' 'C Inca\n' 'D Zapotec\n']"
"#Q This civilization arose in Central Mexico and its members spoke the Nahuatl language .
",Aztec,"['#Q This civilization arose in Central Mexico and its members spoke the Nahuatl language .\n'
 '^ Aztec\n' 'A Olmec\n' 'B Norte Chico\n' 'C Toltec\n' 'D Aztec\n']"
"#Q Harappan was the mature phase of this civilization that flourished in the river valleys in Sindh province of Pakistan, extending westward into Balochistan province, and in West India.
",Indus Valley Civilization,"['#Q Harappan was the mature phase of this civilization that flourished in the river valleys in Sindh province of Pakistan, extending westward into Balochistan province, and in West India.\n'
 '^ Indus Valley Civilization\n' 'A Indus Valley Civilization\n'
 'B Ancient China\n' 'C Mali Empire\n' 'D Canaan\n']"
"#Q According to legend, Ancient Rome was founded by the brothers Romulus and Remus who were raised by what animal?
",Wolf,"['#Q According to legend, Ancient Rome was founded by the brothers Romulus and Remus who were raised by what animal?\n'
 '^ Wolf\n' 'A Monkey\n' 'B Wolf\n' 'C Bear\n' 'D Tiger\n']"
"#Q Four colossal statues guard the temple Abu Simbel of what Egyptian pharaoh?
",Ramesses II,"['#Q Four colossal statues guard the temple Abu Simbel of what Egyptian pharaoh?\n'
 '^ Ramesses II\n' 'A Nebhepetre Mentuhotep II\n' 'B Mentuhotep II\n'
 'C Tutankhamun\n' 'D Ramesses II\n']"
"#Q What was the first civilization to make use of the alphabet that is believed to be the ancestor of all modern alphabets?
",Phoenicia,"['#Q What was the first civilization to make use of the alphabet that is believed to be the ancestor of all modern alphabets?\n'
 '^ Phoenicia\n' 'A Indus Valley Civilization\n' 'B Sumer\n' 'C Arab\n'
 'D Phoenicia\n']"
"#Q The country of Russia was named for the Vikings.
",True,"['#Q The country of Russia was named for the Vikings.\n' '^ True\n'
 'A True\n' 'B False\n' '\n'
 '#Q The Vikings adopted Christianity around 1000 AD.\n']"
"#Q The Vikings adopted Christianity around 1000 AD.
",True,"['#Q The Vikings adopted Christianity around 1000 AD.\n' '^ True\n'
 'A False\n' 'B True\n' '\n' '#Q Women could also be Vikings.\n']"
"#Q Women could also be Vikings.
",False,"['#Q Women could also be Vikings.\n' '^ False\n' 'A True\n' 'B False\n'
 '\n' '#Q Vikings never plundered religious or holy sites.\n']"
"#Q Vikings never plundered religious or holy sites.
",False,"['#Q Vikings never plundered religious or holy sites.\n' '^ False\n'
 'A False\n' 'B True\n' '\n'
 '#Q In the age of the Vikings, Viking ships were the most technologically advanced.\n']"
"#Q In the age of the Vikings, Viking ships were the most technologically advanced.
",True,"['#Q In the age of the Vikings, Viking ships were the most technologically advanced.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q In Viking culture all men were expected to carry weapons.\n']"
"#Q In Viking culture all men were expected to carry weapons.
",True,"['#Q In Viking culture all men were expected to carry weapons.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q Loki was the Viking God of lies.\n']"
"#Q Loki was the Viking God of lies.
",False,"['#Q Loki was the Viking God of lies.\n' '^ False\n' 'A True\n'
 'B False\n' '\n'
 '#Q The first recorded Viking raid in Britain was in 763.\n']"
"#Q The first recorded Viking raid in Britain was in 763.
",False,"['#Q The first recorded Viking raid in Britain was in 763.\n' '^ False\n'
 'A True\n' 'B False\n' '\n'
 '#Q Leif Eriksson also known as Leif the Lucky is thought to have been the first European to land in North America.\n']"
"#Q Leif Eriksson also known as Leif the Lucky is thought to have been the first European to land in North America.
",True,"['#Q Leif Eriksson also known as Leif the Lucky is thought to have been the first European to land in North America.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q The father of all Norse or Viking gods was Thor the God of Thunder.\n']"
"#Q The father of all Norse or Viking gods was Thor the God of Thunder.
",False,"['#Q The father of all Norse or Viking gods was Thor the God of Thunder.\n'
 '^ False\n' 'A False\n' 'B True\n' '\n'
 '#Q WWII began on September 1, 1939, when Germany invaded this country.\n']"
"#Q WWII began on September 1, 1939, when Germany invaded this country.
",Poland,"['#Q WWII began on September 1, 1939, when Germany invaded this country.\n'
 '^ Poland\n' 'A France\n' 'B Austria\n' 'C Russia\n' 'D Poland\n']"
"#Q The first underground metro in North America, the Boston subway, was opened on September 1 of  this year.
",1897,"['#Q The first underground metro in North America, the Boston subway, was opened on September 1 of  this year.\n'
 '^ 1897\n' 'A 1911\n' 'B 1906\n' 'C 1916\n' 'D 1897\n']"
"#Q On September  1, 1983 Korean Air Flight KAL-007 was shot down after entering Soviet airspace (this is true).   Some of the passengers and crew survived the crash.
",False,"['#Q On September  1, 1983 Korean Air Flight KAL-007 was shot down after entering Soviet airspace (this is true).   Some of the passengers and crew survived the crash.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q On September 1, 1979, Pioneer 11 became the first spacecraft to visit Mercury.\n']"
"#Q On September 1, 1979, Pioneer 11 became the first spacecraft to visit Mercury.
",False,"['#Q On September 1, 1979, Pioneer 11 became the first spacecraft to visit Mercury.\n'
 '^ False\n' 'A False\n' 'B True\n' '\n'
 '#Q On September 1, 1957, this Grammy Award - winning singer was born.  She began her career as lead singer for the Miami Sound Machine.\n']"
"#Q On September 1, 1957, this Grammy Award - winning singer was born.  She began her career as lead singer for the Miami Sound Machine.
",Gloria Estefan,"['#Q On September 1, 1957, this Grammy Award - winning singer was born.  She began her career as lead singer for the Miami Sound Machine.\n'
 '^ Gloria Estefan\n' 'A Mary J. Blige\n' 'B Gloria Estefan\n'
 'C Aaliyah\n' 'D Toni Basil\n']"
"#Q The passenger pigeon was one of the most common birds in the world- it is estimated that there were about five billion in the United States alone. The last passenger pigeon died on September 1, 1914 in this zoo.
",The Cincinnati Zoo,"['#Q The passenger pigeon was one of the most common birds in the world- it is estimated that there were about five billion in the United States alone. The last passenger pigeon died on September 1, 1914 in this zoo.\n'
 '^ The Cincinnati Zoo\n' 'A The Giza Zoo\n' 'B The Kabul Zoo\n'
 'C The Philadelphia Zoo\n' 'D The Cincinnati Zoo\n']"
"#Q On September 1, 1985, at a depth of 2 miles (3,8 km), south-east of Newfoundland, the wreck of the Titanic was discovered. Jean-Louis Michel was one of the two people who led the expedition. He was the other one.
",Dr. Robert Ballard,"['#Q On September 1, 1985, at a depth of 2 miles (3,8 km), south-east of Newfoundland, the wreck of the Titanic was discovered. Jean-Louis Michel was one of the two people who led the expedition. He was the other one.\n'
 '^ Dr. Robert Ballard\n' 'A Evan Forde\n' 'B Dr. Robert Ballard\n'
 'C Jacques-Yves Cousteau\n' 'D Charles David Keeling\n']"
"#Q Moammar Qaddafi and a group of officers staged a coup detat against King Idris on 1st of  September 1969 (this is true). The coup was unsuccessful and Qaddafi was sent to prison.
",False,"['#Q Moammar Qaddafi and a group of officers staged a coup detat against King Idris on 1st of  September 1969 (this is true). The coup was unsuccessful and Qaddafi was sent to prison.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q On September 1, 2004, in a small Russian town, armed terrorists took hundreds of schoolchildren and adults hostage. What was the name of the town?\n']"
"#Q On September 1, 2004, in a small Russian town, armed terrorists took hundreds of schoolchildren and adults hostage. What was the name of the town?
",Beslan,"['#Q On September 1, 2004, in a small Russian town, armed terrorists took hundreds of schoolchildren and adults hostage. What was the name of the town?\n'
 '^ Beslan\n' 'A Chita\n' 'B Beslan\n' 'C Rostov\n' 'D Kirishi\n']"
"#Q The first Crusade was initiated by Emperor Alexius I, when he appealed to Pope Urban II for help in defending against the Muslims.   Alexius I was the ruler of this great empire.
",The Byzantine Empire,"['#Q The first Crusade was initiated by Emperor Alexius I, when he appealed to Pope Urban II for help in defending against the Muslims.   Alexius I was the ruler of this great empire.\n'
 '^ The Byzantine Empire\n' 'A The Holy Roman Empire\n'
 'B The Byzantine Empire\n' 'C The Chinese Empire\n'
 'D The Western Roman Empire\n']"
"#Q The Kingdom of Jerusalem was established after the first Crusade.  Godfrey of Bouillon was chosen to be King, but he refused the title and took this one instead.
",Defender of the Holy Sepulchre,"['#Q The Kingdom of Jerusalem was established after the first Crusade.  Godfrey of Bouillon was chosen to be King, but he refused the title and took this one instead.\n'
 '^ Defender of the Holy Sepulchre\n' 'A Slayer of the Muslims\n'
 'B Defender of the Holy City\n' 'C Defender of the Holy Land\n'
 'D Defender of the Holy Sepulchre\n']"
"#Q The second Crusade, launched in 1145, was the most successful of all Crusades.
",False,"['#Q The second Crusade, launched in 1145, was the most successful of all Crusades.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q The Fourth Crusade (1202â€“1204) was called upon by Pope Innocent II and was originally intended to retake Jerusalem by conquering this country.\n']"
"#Q The Fourth Crusade (1202â€“1204) was called upon by Pope Innocent II and was originally intended to retake Jerusalem by conquering this country.
",Egypt,"['#Q The Fourth Crusade (1202â€“1204) was called upon by Pope Innocent II and was originally intended to retake Jerusalem by conquering this country.\n'
 '^ Egypt\n' 'A Bulgaria\n' 'B Turkey\n' 'C Egypt\n'
 'D The Byzantine Empire\n']"
"#Q One of the most brutal crusades was the Albigensian Crusade (this is true). The aim of this crusade was to eliminate the religion of the Cathars.
",True,"['#Q One of the most brutal crusades was the Albigensian Crusade (this is true). The aim of this crusade was to eliminate the religion of the Cathars.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q Jews saw the Crusades as great help and welcomed knights as heroes.\n']"
"#Q Jews saw the Crusades as great help and welcomed knights as heroes.
",False,"['#Q Jews saw the Crusades as great help and welcomed knights as heroes.\n'
 '^ False\n' 'A False\n' 'B True\n' '\n'
 '#Q The crusaders considered themselves sort of pilgrims and so, before joining a Crusade, they swore a vow to do this.\n']"
"#Q The crusaders considered themselves sort of pilgrims and so, before joining a Crusade, they swore a vow to do this.
",To successfully reach Jerusalem,"['#Q The crusaders considered themselves sort of pilgrims and so, before joining a Crusade, they swore a vow to do this.\n'
 '^ To successfully reach Jerusalem\n' 'A Not to steal any gold\n'
 'B To successfully reach Jerusalem\n'
 'C To preach Christianity to Muslim prisoners\n'
 'D To kill at least ten Muslims\n']"
