Problem,Rationale,options,correct,annotated_formula,linear_formula,category
"given f ( x ) = 3 x – 5 , for what value of x does 2 * [ f ( x ) ] – 16 = f ( x – 6 ) ?","""2 ( 3 x - 5 ) - 16 = 3 ( x - 6 ) - 5 3 x = 3 x = 1 the answer is a .""","a ) 1 , b ) 4 , c ) 6 , d ) 7 , e ) 13",a,"divide(subtract(add(multiply(2, 5), 16), add(multiply(3, 6), 5)), subtract(multiply(2, 3), multiply(3, const_1)))","multiply(n1,n2)|multiply(n4,n0)|multiply(n0,n2)|multiply(n0,const_1)|add(n3,#0)|add(n1,#1)|subtract(#2,#3)|subtract(#4,#5)|divide(#7,#6)|",general
a batsman in his 12 th innings makes a score of 80 and thereby increases his average by 3 runs . what is his average after the 12 th innings if he had never been ‘ not out ’ ?,let ‘ x ’ be the average score after 12 th innings ⇒ 12 x = 11 × ( x – 3 ) + 80 ∴ x = 47 answer e,"a ) 42 , b ) 43 , c ) 44 , d ) 45 , e ) 47",e,"add(subtract(80, multiply(12, 3)), 3)","multiply(n0,n2)|subtract(n1,#0)|add(n2,#1)",general
"each of the three people individually can complete a certain job in 4 , 5 , and 8 hours , respectively . what is the lowest fraction of the job that can be done in 1 hour by 2 of the people working together at their respective rates ?","""the two slowest people work at rates of 1 / 5 and 1 / 8 of the job per hour . the sum of these rates is 1 / 5 + 1 / 8 = 13 / 40 of the job per hour . the answer is d .""","a ) 9 / 20 , b ) 11 / 20 , c ) 11 / 32 , d ) 13 / 40 , e ) 17 / 40",d,"add(divide(1, 5), divide(1, 8))","divide(n3,n1)|divide(n3,n2)|add(#0,#1)|",physics
"a train travels from new york to chicago , a distance of approximately 840 miles , at an average rate of 60 miles per hour and arrives in chicago at 7 : 00 in evening , chicago time . at what hour in the morning , new york time , did the train depart for chicago ? ( note : chicago time is one hour earlier than new york time )","""7 : 00 in evening in chicago = 8 : 00 in evening in new york . so , the train was in chicago 8 : 00 in the evening , new york time . the trip took t = d / r = 840 / 60 = 14 hours . therefore , the train depart from new york at 8 : 00 - 14 hours = 6 : 00 in the morning , new york time . answer : d .""","a ) 3 : 00 , b ) 4 : 00 , c ) 5 : 00 , d ) 6 : 00 , e ) 7 : 00",d,"subtract(multiply(add(7, const_1), const_3), divide(840, 60))","add(n2,const_1)|divide(n0,n1)|multiply(#0,const_3)|subtract(#2,#1)|",physics
"if the ratio of a to b is 4 to 3 and the ratio of b to c is 1 to 5 , what is the ratio of a to c ?","a : b = 4 : 3 - - 1 b : c = 1 : 5 = > b : c = 3 : 15 - - 2 from 1 and 2 , we get a : c = 4 : 15 answer a","a ) 4 / 15 , b ) 1 / 3 , c ) 2 / 5 , d ) 4 / 5 , e ) 7 / 6",a,"divide(multiply(4, 1), multiply(3, 5))","multiply(n0,n2)|multiply(n1,n3)|divide(#0,#1)",other
the h . c . f . of two numbers is 63 and the other two factors of their l . c . m . are 11 and 17 . the larger of the two numbers is :,""": explanation : clearly , the numbers are ( 63 x 11 ) and ( 63 x 17 ) . { \ color { blue } \ therefore } larger number = ( 63 x 17 ) = 1071 . answer : e ) 1071""","a ) 3421 , b ) 2132 , c ) 1111 , d ) 4323 , e ) 1071",e,"multiply(63, 17)","multiply(n0,n2)|",other
a rectangular swimming pool is 10 feet by 12 feet . a deck that has uniform width surrounds the pool . the total area of the pool and deck is 360 square feet . what is the width of the deck ?,"""let the width = w total area of the pool and deck = ( 2 w + 10 ) ( 2 w + 12 ) we can test the answer choices along with unit digit method a ) 2 feet . . . . . . . . . . . 14 * 16 has unit digit 4 . . . . . . . . . . eliminate b ) 2.5 feet . . . . . . . . . 15 * 17 has unit digit 5 . . . . . . . . . . eliminate c ) 3 feet . . . . . . . . . . . . 16 * 18 has unit digit 8 . . . . . . . . . . . eliminate d ) 4 feet . . . . . . . . . . . . 18 * 20 has unit digit 0 . . . . . . . . . . . hold e ) 5 feet . . . . . . . . . . . . 20 * 22 has unit digit 0 . . . . . . . . . . . eliminate ( bigger size ) answer : d w = 4""","a ) 7 , b ) 2 , c ) 3 , d ) 4 , e ) 6",d,"divide(subtract(sqrt(add(power(subtract(12, const_1), const_2), subtract(360, rectangle_area(10, 12)))), subtract(12, const_1)), const_2)","rectangle_area(n0,n1)|subtract(n1,const_1)|power(#1,const_2)|subtract(n2,#0)|add(#2,#3)|sqrt(#4)|subtract(#5,#1)|divide(#6,const_2)|",geometry
find the probability that a leap year selected at random will not have 53 sundays or mondays .,"""there are 366 days in a leap year : 52 weeks and 2 more days . so , 52 sundays , 52 mondays and 2 days . these 2 days can be : { mon , tue } , { tue , wed } , { wed , thu } , { thu , fri } , { fri , sat } , { sat , sun } and { sun , mon } ( 7 cases ) . in order to have 53 sundays or 53 mondays we should have either { mon , tue } { sat , sun } or { sun , mon } case . the probability of that is 3 / 7 . so probability of not having 53 sundays or mondays , probability is 1 - 3 / 7 = 4 / 7 answer : c .""","a ) 6 / 7 , b ) 5 / 7 , c ) 4 / 7 , d ) 3 / 7 , e ) 2 / 7",c,"divide(const_2, add(const_3, const_4))","add(const_3,const_4)|divide(const_2,#0)|",probability
"a copy machine , working at a constant rate , makes 25 copies per minute . a second copy machine , working at a constant rate , makes 55 copies per minute . working together at their respective rates , how many copies do the two machines make in half an hour ?","""together the two machines make 25 + 55 = 80 copies per minute . so , in half an hour they will make 80 * 30 = 2,400 copies . answer : b .""","a ) 90 , b ) 2,400 , c ) 4,500 , d ) 5,400 , e ) 324,000",b,"divide(multiply(add(25, 55), const_60), const_2)","add(n0,n1)|multiply(#0,const_60)|divide(#1,const_2)|",physics
a student multiplied a number by 3 / 5 instead of 5 / 3 . what is the percentage error .,"""explanation : let the number be x , then , 5 / 3 − 3 / 5 = 16 / 15 x error % = ( 16 / 15 x ∗ 3 / 5 ∗ 100 ) option a""","a ) 64 % , b ) 65 % , c ) 66 % , d ) 67 % , e ) none of these",a,"multiply(divide(subtract(divide(5, 3), divide(3, 5)), divide(5, 3)), const_100)","divide(n1,n0)|divide(n0,n1)|subtract(#0,#1)|divide(#2,#0)|multiply(#3,const_100)|",general
"solve the given equation 9 ^ y = 3 ^ 12 , what is y ?","3 ^ 2 y = 3 ^ 12 2 y = 12 , therefore y = 6 e","a ) 1 , b ) 3 , c ) 4 , d ) 5 , e ) 6",e,"divide(12, divide(log(9), log(3)))","log(n0)|log(n1)|divide(#0,#1)|divide(n2,#2)",general
the dimensions of a room are 25 feet * 15 feet * 12 feet . what is the cost of white washing the four walls of the room at rs . 5 per square feet if there is one door of dimensions 6 feet * 3 feet and three windows of dimensions 4 feet * 3 feet each ?,"""area of the four walls = 2 h ( l + b ) since there are doors and windows , area of the walls = 2 * 12 ( 15 + 25 ) - ( 6 * 3 ) - 3 ( 4 * 3 ) = 906 sq . ft . total cost = 906 * 5 = rs . 4530 answer : d""","a ) 2277 , b ) 2977 , c ) 2677 , d ) 4530 , e ) 1971",d,"multiply(subtract(subtract(multiply(multiply(const_2, 12), add(15, 25)), multiply(6, 3)), multiply(3, multiply(4, 3))), 5)","add(n0,n1)|multiply(n2,const_2)|multiply(n4,n5)|multiply(n5,n6)|multiply(#0,#1)|multiply(n5,#3)|subtract(#4,#2)|subtract(#6,#5)|multiply(n3,#7)|",geometry
"a , b and c started a partnership business by investing rs . 30000 , rs . 45000 , rs . 50000 respectively . at the end of the year , the profit were distributed among them . if c ' s share of profit is 36000 , what is the total profit ?","""a : b : c = 30000 : 45000 : 50000 = 6 : 9 : 10 let total profit = p then p ã — 10 / 25 = 36000 p = ( 36000 ã — 25 ) / 10 = 90000 answer is d .""","a ) 70000 , b ) 60000 , c ) 80000 , d ) 90000 , e ) 50000",d,"add(add(multiply(divide(30000, 50000), 36000), multiply(divide(45000, 50000), 36000)), 36000)","divide(n0,n2)|divide(n1,n2)|multiply(n3,#0)|multiply(n3,#1)|add(#2,#3)|add(n3,#4)|",gain
if the number is decreased by 5 and divided by 7 the result is 7 . what would be the result if 4 is subtracted and divided by 10 ?,"""explanation : let the number be x . then , ( x - 5 ) / 7 = 7 = > x - 5 = 49 x = 54 . : ( x - 4 ) / 10 = ( 54 - 4 ) / 10 = 5 answer : option d""","a ) 4 , b ) 7 , c ) 8 , d ) 5 , e ) 3",d,"divide(subtract(add(multiply(7, 7), 5), 4), 10)","multiply(n1,n1)|add(n0,#0)|subtract(#1,n3)|divide(#2,n4)|",general
"integer m has 4 different prime factors and n has 3 different prime factors . if m and n has the greatest common factor of 15 , how many different prime factors does mn have ?","as m and n has gcf of 15 , 3 * 5 should be common factor for both m and n . m = 3 * 5 * p 1 * p 2 n = 3 * 5 * p 3 mn = 3 ^ 2 * 5 ^ 2 * p 1 * p 2 * p 3 mn has prime numbers of 3,5 , p 1 , p 2 p 3 b","a ) 4 , b ) 5 , c ) 6 , d ) 7 , e ) 8",b,"add(4, const_1)","add(n0,const_1)",other
"if x ^ 2 + ( 1 / x ^ 2 ) = 5 , x ^ 4 + ( 1 / x ^ 4 ) = ?","""- > x ^ 4 + ( 1 / x ^ 4 ) = ( x ^ 2 ) ^ 2 + ( 1 / x ^ 2 ) ^ 2 = ( x ^ 2 + 1 / x ^ 2 ) ^ 2 - 2 x ^ 2 ( 1 / x ^ 2 ) = 5 ^ 2 - 2 = 23 . thus , the answer is a .""","a ) 23 , b ) 11 , c ) 12 , d ) 14 , e ) 15",a,"subtract(power(2, 2), 2)","power(n3,n0)|subtract(#0,n0)|",general
"on a sum of money , the s . i . for 2 years is $ 600 , while the c . i . is $ 609 , the rate of interest being the same in both the cases . the rate of interest is ?","""difference in c . i . and s . i for 2 years = $ 609 - $ 600 = $ 9 s . i for one year = $ 300 s . i . on $ 300 for 1 year = $ 9 rate = ( 100 * 9 ) / ( 300 ) = 3 % the answer is b .""","a ) 2 % , b ) 3 % , c ) 4 % , d ) 5 % , e ) 6 %",b,"divide(multiply(const_100, subtract(609, 600)), divide(600, 2))","divide(n1,n0)|subtract(n2,n1)|multiply(#1,const_100)|divide(#2,#0)|",gain
"in arun ' s opinion , his weight is greater than 62 kg but leas than 72 kg . his brother does not agree with arun and he thinks that arun ' s weight is greater than 60 kg but less than 70 kg . his mother ' s view is that his weight can not be greater than 65 kg . if all of them are correct in their estimation , what is the average of diferent probable weights of arun ?","""let arun ' s weight be x kg . according to arun , 62 < x < 72 . according to arun ' s brother , 60 < x < 70 . according to arun ' s mother , x < 65 . the values satisfying all the above conditions are 63 and 64 . required average = ( 63 + 64 ) / 2 = 63.5 kg answer : b""","a ) 86.5 kg , b ) 63.5 kg , c ) 46.5 kg , d ) 26.5 kg , e ) 16.5 kg",b,"divide(add(65, add(62, const_1)), const_2)","add(n0,const_1)|add(n4,#0)|divide(#1,const_2)|",general
"x and y are two towns . ganesh covers the distance from x to y at an average speed of 60 km / hr . however , he covers the distance from y to x at an average speed of 36 km / hr . his average speed during the whole journey in km / hr . is :",solution : average speed = 2 xy / x + y = 2 * 60 * 36 / 60 + 36 = 45 answer : a,"a ) 45 , b ) 43 , c ) 40 , d ) 38 , e ) 29",a,"divide(add(add(subtract(60, const_10), const_100), add(subtract(60, const_10), const_100)), add(divide(add(subtract(60, const_10), const_100), 60), divide(add(subtract(60, const_10), const_100), 36)))","subtract(n0,const_10)|add(#0,const_100)|add(#1,#1)|divide(#1,n0)|divide(#1,n1)|add(#3,#4)|divide(#2,#5)",general
( 12 ) ^ 3 x 6 ^ 4 ÷ 432 = ?,= ( 12 ) ^ 3 x 6 ^ 4 / 432 = ( 12 ) ^ 3 x 6 ^ 4 / 12 x 6 ^ 2 = ( 12 ) ^ 2 x 6 ^ 2 = ( 72 ) ^ 2 = 70 answer is e,"a ) 5184 , b ) 5060 , c ) 5148 , d ) 5084 , e ) none of them",e,"divide(multiply(power(12, 3), power(6, 4)), 432)","power(n0,n1)|power(n2,n3)|multiply(#0,#1)|divide(#2,n4)",general
two cylinders are of the same height . their radii are in the ratio 1 : 3 . if the volume of the first cylinder is 40 cc . find the volume of the second cylinder ?,r 1 = x r 2 = 3 x π * x 2 * h = 40 π 9 x 2 h = 40 * 9 = 360 answer : a,"['a ) 360 cc', 'b ) 60 cc', 'c ) 300 cc', 'd ) 36 cc', 'e ) 39 cc']",a,"multiply(40, multiply(3, 3))","multiply(n1,n1)|multiply(n2,#0)",geometry
"a grocer has a sale of rs . 2500 , rs . 4000 , rs . 3540 for 3 consecutive months . how much sale must he have in the fourth month so that he gets an average sale of rs . 2890 ?",total sale for 5 months = rs . ( 2500 + 4000 + 3540 ) = rs . 10040 . required sale = rs . [ ( 2890 x 4 ) - 10040 ] = rs . ( 11560 - 10040 ) = rs . 1520 . b ),"a ) rs . 3500 , b ) rs . 1520 , c ) rs . 4996 , d ) rs . 4000 , e ) rs . 900",b,"subtract(subtract(subtract(multiply(2890, const_4), 2500), 4000), 3540)","multiply(n4,const_4)|subtract(#0,n0)|subtract(#1,n1)|subtract(#2,n2)",general
"if 3 ^ x * 4 ^ y = 4 , 782,969 and x – y = 14 , then x = ?","""since 4 , 782,969 is an odd number , it is not a multiple of 4 . this means that y must equal zero . since x - y = 14 and y = 0 , then x = 14 . the answer is e .""","a ) 10 , b ) 11 , c ) 12 , d ) 13 , e ) 14",e,"multiply(782,969, const_1)","multiply(n3,const_1)|",general
"if x , y , and z are positive real numbers such that x + y - z = 100 , y - z + x = 120 , and z - x + y = 50 , then find the x + y + z value ?","""x + y - z = 100 , - - - - - - 1 ) y - z + x = 120 , - - - - - - 2 ) z - x + y = 50 - - - - - - 3 ) from ( 1 ) & ( 2 ) 2 z = 20 z = 10 from ( 2 ) & ( 3 ) 2 y = 170 y = 85 then x = 100 - 75 = 25 x + y + z = 120 correct option is b""","a ) 100 , b ) 120 , c ) 150 , d ) 200 , e ) 160",b,"subtract(50, subtract(120, 100))","subtract(n1,n0)|subtract(n2,#0)|",general
the volume of a cube is 3375 cc . find its surface .,a 3 = 3375 = > a = 15 6 a 2 = 6 * 15 * 15 = 1350 answer : a,"a ) 1350 , b ) 1150 , c ) 1456 , d ) 1254 , e ) 1489",a,surface_cube(cube_edge_by_volume(3375)),cube_edge_by_volume(n0)|surface_cube(#0)|,geometry
"if the cost price of 10 articles is equal to the selling price of 20 articles , what is the % profit or loss made by the merchant ?","""let the cost price of 1 article be $ 1 . therefore , cost price of 10 articles = 10 * 1 = $ 10 the selling price of 20 articles = cost price of 10 articles = $ 10 . now , we know the selling price of 20 articles . let us find the cost price of 20 articles . cost price of 20 articles = 20 * 1 = $ 20 . therefore , profit made on sale of 20 articles = selling price of 20 articles - cost price of 20 articles = 10 - 20 = - $ 10 . as the profit is in the negative , the merchant has made a loss of $ 10 . therefore , % loss = loss / cp * 100 % loss = - 10 / 20 * 100 = 50 % loss . e""","a ) 25 % loss , b ) 25 % profit , c ) 20 % loss , d ) 20 % profit , e ) 50 % loss",e,"multiply(const_100, divide(subtract(const_100, divide(multiply(const_100, 20), 10)), divide(multiply(const_100, 20), 10)))","multiply(n1,const_100)|divide(#0,n0)|subtract(const_100,#1)|divide(#2,#1)|multiply(#3,const_100)|",gain
( 0.76 ) ( power 3 ) - ( 0.1 ) ( power 3 ) / ( 0.76 ) ( power 2 ) + 0.076 + ( 0.1 ) ( power 2 ) is :,"""given expression = ( 0.76 ) ( power 3 ) - ( 0.1 ) ( power 3 ) / ( 0.76 ) ( power 2 ) + ( 0.76 x 0.1 ) + ( 0.1 ) ( power 2 ) = a ( power 3 ) - b ( power 3 ) / a ( power 2 ) + ab + b ( power 2 ) = ( a - b ) = ( 0.76 - 0.1 ) = 0.66 answer is a .""","a ) 0.66 , b ) 0.68 , c ) 0.96 , d ) 0.69 , e ) 0.76",a,"divide(subtract(power(0.76, 3), power(0.1, 3)), add(add(power(0.76, 2), 0.076), power(0.1, 2)))","power(n0,n1)|power(n2,n1)|power(n0,n5)|power(n2,n5)|add(n6,#2)|subtract(#0,#1)|add(#4,#3)|divide(#5,#6)|",general
one - third of 1206 is what percent of 134 ?,"""answer let one - third of 1206 is n % of 134 . ∵ 1206 / 3 = ( n x 134 ) / 100 ∴ n = ( 402 x 100 ) / 134 = 300 correct option : c""","a ) 3 , b ) 30 , c ) 300 , d ) none of these , e ) can not be determined",c,"multiply(const_100, divide(divide(1206, const_3), 134))","divide(n0,const_3)|divide(#0,n1)|multiply(#1,const_100)|",gain
"the digit sum of the year 2007 is 2 + 0 + 0 + 7 = 9 , which is a square number . how many years during the 20 - first century have a square digital sum ?","the twenty - first century runs from the year 2001 to 2100 inclusive , so with the exception of the year 2100 , for which the digital sum is three anyway , the first two digits of all the other years are fixed as 20 . hence for the sum of all the digits to be square the sum of the last two digits number be two less than a perfect square . as the maximum sum of the last two digits is 18 , the greatest sum will be 20 . therefore we can obtain digital sums of 4 , 9 , or 16 , with the last two digits adding to 2 , 7 , or 14 respectively . 4 : 2002 , 2011 , 2020 9 : 2007 , 2016 , 2025 , 2034 , 2043 , 2052 , 2061 , 2070 16 : 2059 , 2068 , 2077 , 2086 , 2095 that is , there are sixteen years during the twenty - first century for which the digital sum is square . answer : d","a ) 13 , b ) 14 , c ) 15 , d ) 16 , e ) 17",d,"add(9, 7)","add(n4,n5)",general
"a certain automobile company ’ s best - selling model is the speedster . the speedster , like all of their other models , comes in coupe and convertible styles . 2 / 3 of the current inventory is speedsters , of which 4 / 5 are convertibles . if there are 40 vehicles that are not speedsters , how many speedster convertibles are there ?",total vehicle = 2 / 3 of speedster + 1 / 3 of others . speedster convertibles = 2 / 3 total vehicle * 4 / 5 given : 1 / 3 constitutes 40 vehicles . hence 2 / 3 constitutes 80 speedster convertibls = 80 * 4 / 5 = 64 b,"a ) 30 , b ) 64 , c ) 60 , d ) 70 , e ) 90",b,"multiply(multiply(divide(40, subtract(const_1, divide(2, 3))), divide(2, 3)), divide(4, 5))","divide(n2,n3)|divide(n0,n1)|subtract(const_1,#1)|divide(n4,#2)|multiply(#3,#1)|multiply(#0,#4)",physics
